term_id	lemma	cf	df
110	arriver	24553	6465
111	ami	24549	5565
112	beau	24300	5594
113	rester	24078	6212
114	enfant	23862	4757
115	attendre	23500	6333
116	ton	23453	4571
117	hé	23416	5665
118	regarder	23370	6025
119	tête	23119	6107
120	vers	22790	6057
121	reprendre	22727	5925
122	chez	22409	4925
123	fille	22246	3904
124	père	22126	3842
125	vie	22043	5241
126	jusque	21930	6208
127	tenir	21807	6319
128	cœur	21663	5452
129	porte	21391	4862
130	il y a	21163	6271
131	trois	21137	5719
132	quel	20972	6020
133	ainsi	20925	6178
134	celui	20782	6140
135	temps	20648	6239
136	connaître	20478	5861
137	ha	20381	4990
138	écrier	20370	5365
139	lorsque	20161	5572
140	comte	20157	2175
141	depuis	20049	5970
142	mille	19605	4273
143	moins	19399	6170
144	trop	19390	5695
145	entre	19274	5844
146	sembler	19237	5887
147	vivre	18892	5661
148	moment	18878	5974
149	comprendre	18864	5864
150	peut-être	18661	5735
151	enfin	18414	5873
152	rendre	18367	5887
153	ho	18361	4448
154	paraître	18360	5864
155	suivre	17905	5923
156	maître	17870	4769
157	peu	17842	5817
158	maison	17793	4382
159	pendant	17741	5475
160	devant	17406	5519
161	notre	17273	4957
162	celle	17250	5600
163	mère	17111	3250
164	pauvre	17041	4878
165	assez	17008	5557
166	dernier	16983	5623
167	déjà	16975	5801
168	mot	16830	5470
169	très	16764	4066
170	voilà	16712	5440
171	sortir	16680	5413
172	revenir	16679	5545
173	fort	16670	5507
174	voix	16652	4918
175	chose	16629	5434
176	an	16525	4480
177	air	16332	4926
178	porter	16049	5709
179	pied	16014	5265
180	entrer	15860	5144
181	sentir	15756	5094
182	perdre	15706	5605
183	nuit	15611	4853
184	jeter	15588	5335
185	vieux	15528	3882
186	aucun	15476	5194
187	contre	15464	5191
188	l'autre	15451	5531
189	chercher	15389	5511
190	devenir	15304	5183
191	amour	15112	3401
192	coup	14944	5055
193	comment	14816	5259
194	penser	14806	5108
195	mourir	14755	4355
196	nom	14746	4915
197	monde	14721	4817
198	arrêter	14523	5215
199	toute	14079	5458
200	bras	13941	4880
201	nouveau	13837	5047
202	cependant	13713	5412
203	appeler	13515	5188
204	terre	13503	4531
205	tomber	13446	4981
206	elles	13442	4088
207	quitter	13385	5057
208	pourquoi	13287	4930
209	mieux	13027	5186
210	chambre	12998	3805
211	capitaine	12975	1918
212	mort	12949	4039
213	parole	12931	4916
214	ici	12908	4596
215	Dieu	12863	4134
216	regard	12821	4534
217	ouvrir	12722	4815
218	cheval	12706	3203
219	soir	12572	4539
220	continuer	12456	4724
221	cher	12397	3849
222	instant	12394	4988
223	lettre	12343	2977
224	toi	12323	3277
225	idée	12264	4401
226	ceux	12190	4757
227	partir	12164	4534
228	lever	12075	4736
229	personne	12067	4532
230	recevoir	12002	4740
231	reconnaître	11983	4844
232	gens	11843	4089
233	esprit	11830	4241
234	maintenant	11762	4747
235	nos	11557	3987
236	sourire	11549	4111
237	fois	11548	4988
238	seulement	11507	5023
239	vrai	11484	4769
240	apercevoir	11482	4594
241	vos	11445	3800
242	laquelle	11430	4687
243	frère	11370	2812
244	raison	11346	4838
245	Paris	11319	2891
246	prince	11110	2028
247	rue	11017	2565
248	montrer	10993	4445
249	eux	10963	4303
250	place	10945	4414
251	eau	10936	3311
252	mal	10879	4328
253	quatre	10840	4140
254	monter	10836	4261
255	commencer	10809	4913
256	affaire	10708	3765
257	mademoiselle	10677	1867
258	force	10652	4337
259	puisque	10644	4680
260	certain	10560	4549
261	fils	10559	3089
262	d'ailleurs	10490	4440
263	sans doute	10484	4590
264	long	10445	4513
265	ça	10410	1616
266	matin	10409	4221
267	cent	10368	3427
268	côté	10363	4584
269	or	10146	3974
270	en effet	10080	4790
271	servir	10018	4296
272	âme	9889	3251
273	reine	9820	1502
274	heureux	9815	3926
275	franc	9800	1922
276	écouter	9795	3999
277	besoin	9778	4284
278	rire	9652	3231
279	presque	9633	4416
280	famille	9585	3138
281	tirer	9538	4219
282	droit	9537	4260
283	ville	9517	2847
284	ordre	9454	3844
285	route	9454	3425
286	haut	9426	4189
287	cinq	9355	3874
288	pousser	9297	4359
289	avant	9286	4241
290	lui-même	9274	4301
291	descendre	9235	3952
292	mer	9187	2208
293	fond	9116	3770
294	parce que	9100	3958
295	marquis	8997	1040
296	garder	8993	3969
297	dix	8939	3912
298	crier	8924	3255
299	oublier	8895	4099
300	près de	8878	4149
301	quoi	8853	4170
302	duc	8794	1206
303	second	8776	4018
304	tandis que	8764	4049
305	rentrer	8739	3937
306	l'un	8723	4088
307	ajouter	8722	4231
308	courir	8703	4165
309	permettre	8669	4090
310	mois	8616	3279
311	noir	8580	3308
312	docteur	8522	1089
313	marcher	8412	3832
314	tant	8410	4104
315	bruit	8405	3674
316	chaque	8402	3607
317	tel	8379	3901
318	cacher	8372	3765
319	bonheur	8314	3163
320	retourner	8278	4036
321	feu	8275	3281
322	mouvement	8259	3780
323	blanc	8211	3237
324	tour	8183	3965
325	craindre	8178	4030
326	occuper	8155	3864
327	France	8154	2642
328	conduire	8099	3970
329	d'abord	8092	4171
330	partie	8078	3751
331	finir	8033	3335
332	général	8018	2117
333	honneur	7974	3557
334	fait	7967	4054
335	français	7951	2407
336	secret	7905	3101
337	mari	7889	2214
338	apprendre	7838	3679
339	lequel	7833	3997
340	cri	7827	3348
341	malgré	7815	3719
342	compter	7813	3804
343	écrire	7803	2966
344	pays	7732	3066
345	silence	7723	3391
346	pensée	7688	3371
347	songer	7649	3705
348	frapper	7627	3734
349	manquer	7616	3950
350	rencontrer	7548	3675
351	asseoir	7543	3422
352	répéter	7524	3647
353	argent	7513	2649
354	corps	7511	3291
355	tuer	7505	2894
356	fenêtre	7494	2645
357	pareil	7481	3766
358	derrière	7382	3459
359	présenter	7378	3763
360	lire	7364	3028
361	causer	7360	3327
362	baron	7355	930
363	mauvais	7355	3573
364	envoyer	7332	3522
365	six	7311	3369
366	offrir	7300	3537
367	messieurs	7284	1991
368	question	7274	3598
369	île	7272	1337
370	aujourd'hui	7256	3374
371	état	7256	3262
372	gros	7241	2900
373	quelque chose	7228	3597
374	quant à	7223	3882
375	souvenir	7222	3322
376	chemin	7181	3348
377	plein	7151	3297
378	longtemps	7086	3617
379	ciel	7074	3362
380	lit	7068	2572
381	visage	7037	3241
382	agir	7015	3516
383	tourner	6995	3419
384	table	6960	2668
385	dame	6888	2227
386	profond	6887	3526
387	fortune	6882	2411
388	retrouver	6842	3422
389	au milieu de	6818	3406
390	voici	6818	3515
391	remettre	6752	3507
392	tromper	6736	3522
393	lendemain	6704	3215
394	essayer	6703	3616
395	possible	6702	3719
396	voiture	6685	1932
397	sentiment	6662	2732
398	soleil	6654	2822
399	jouer	6650	2785
400	Artagnan	6629	283
401	gagner	6614	3226
402	est-ce que	6576	3182
403	plaisir	6563	2921
404	compagnon	6552	2529
405	espérer	6531	3680
406	sauver	6530	2836
407	sœur	6507	1959
408	bientôt	6494	3334
409	tendre	6459	3459
410	joie	6438	3096
411	Jean	6417	827
412	bas	6405	3375
413	minute	6398	3239
414	à travers	6397	3177
415	peu de	6393	3343
416	coucher	6383	2977
417	à peine	6372	3647
418	abbé	6367	837
419	surtout	6353	3485
420	échapper	6349	3392
421	soit	6328	3003
422	tant de	6324	3111
423	doux	6305	3069
424	approcher	6279	3538
425	souffrir	6260	2755
426	beaucoup	6244	3061
427	rappeler	6242	3427
428	fin	6233	3111
429	figure	6212	2766
430	travail	6195	2450
431	charger	6184	3366
432	impossible	6155	3439
433	tous	6148	3226
434	cents	6143	2433
435	d'autre	6135	3470
436	année	6130	2752
437	pourtant	6130	2745
438	terrible	6125	3079
439	château	6116	1941
440	abandonner	6108	3263
441	cour	6103	2359
442	pour que	6094	3472
443	murmurer	6034	2798
444	aussitôt	6032	3389
445	n'est-ce pas	6027	2870
446	bois	6021	2559
447	moyen	5994	3187
448	ancien	5977	2644
449	malheur	5974	2900
450	sorte	5934	3141
451	souvent	5923	2879
452	battre	5916	2836
453	froid	5892	2732
454	garçon	5883	2291
455	chacun	5881	2873
456	personne:PRON	5871	3117
457	payer	5870	2435
458	loin	5850	3130
459	refuser	5825	3000
460	plusieurs	5808	2996
461	monseigneur	5807	781
462	fou	5772	2655
463	élever	5760	3130
464	emporter	5744	2981
465	prier	5744	3008
466	larme	5742	2455
467	riche	5719	2507
468	fermer	5705	3121
469	nature	5677	2706
470	sang	5670	2642
471	valoir	5658	3075
472	milieu	5648	2997
473	de plus	5635	3317
474	promettre	5623	2992
475	service	5608	2877
476	douleur	5604	2436
477	dormir	5602	2514
478	arbre	5577	2276
479	forcer	5571	3159
480	quoique	5567	2694
481	autour de	5544	3182
482	voyage	5538	2546
483	huit	5537	2961
484	malheureux	5536	2885
485	mariage	5526	1735
486	plutôt	5515	3502
487	disparaître	5514	3176
488	livre	5514	2100
489	manger	5484	2173
490	vingt	5482	2880
491	oreille	5467	2854
492	peine	5458	3170
493	soin	5440	2964
494	accepter	5436	2726
495	expliquer	5433	2761
496	chevalier	5423	839
497	empêcher	5419	3175
498	traverser	5344	2982
499	Louis	5343	1312
500	autant	5339	3063
501	demain	5335	2398
502	retirer	5329	3054
503	lèvre	5324	2841
504	demeurer	5321	3055
505	intérêt	5312	2626
506	peur	5297	2552
507	décider	5282	2983
508	c'est-à-dire	5276	3084
509	oser	5274	2864
510	placer	5271	2912
511	raconter	5270	2722
512	épaule	5256	2864
513	cas	5240	3112
514	changer	5237	3012
515	habitude	5236	3029
516	toucher	5202	3052
517	journée	5199	2768
518	Henri	5185	779
519	front	5172	2751
520	garde	5154	2552
521	apporter	5147	2786
522	adresser	5135	2993
523	calme	5132	2899
524	pièce	5120	2055
525	nommer	5114	2385
526	passion	5105	1880
527	manière	5086	2483
528	simple	5062	3017
529	lieu	5059	2913
530	grâce	5057	2637
531	saisir	5057	2721
532	relever	5052	3042
533	assurer	5031	3119
534	Jacques	5023	550
535	étonner	5016	2970
536	sûr	5000	2991
537	éprouver	4994	2720
538	au moment où	4991	2854
539	atteindre	4984	2561
540	soldat	4971	1670
541	fleur	4967	1996
542	salon	4957	1540
543	histoire	4943	2254
544	danger	4916	2607
545	défendre	4895	2694
546	oncle	4893	1014
547	douter	4877	3003
548	vent	4863	2129
549	au lieu de	4861	2928
550	vue	4859	2945
551	étendre	4841	2894
552	chef	4834	1880
553	ennemi	4821	2229
554	situation	4808	2486
555	cause	4794	2555
556	mon Dieu	4793	2137
557	vite	4793	2841
558	large	4782	2458
559	au-dessus	4777	2657
560	avancer	4757	2800
561	joli	4756	2050
562	plaire	4739	2608
563	convenir	4732	2893
564	deviner	4726	2470
565	éloigner	4724	2929
566	annoncer	4717	2663
567	vif	4703	2732
568	sire	4694	579
569	cardinal	4693	659
570	cheveu	4685	2273
571	brave	4675	2735
572	accompagner	4654	2739
573	produire	4654	2487
574	ignorer	4650	2608
575	malade	4638	1858
576	dîner	4635	1713
577	amener	4627	2714
578	façon	4626	2849
579	inconnu	4587	2160
580	achever	4580	2666
581	jardin	4561	1799
582	pleurer	4559	2014
583	propre	4535	2613
584	endroit	4532	2601
585	chien	4503	1642
586	afin de	4498	2406
587	jurer	4497	2246
588	observer	4497	2269
589	officier	4497	1473
590	attention	4496	2767
591	lumière	4485	2199
592	briser	4478	2593
593	revoir	4459	2458
594	elle-même	4458	2401
595	bouche	4455	2648
596	entier	4450	2586
597	séparer	4450	2730
598	avouer	4441	2575
599	désirer	4436	2621
600	anglais	4434	1599
601	tranquille	4429	2701
602	chère	4414	1773
603	reste	4411	2761
604	pâle	4409	2516
605	papier	4402	1732
606	retenir	4400	2758
607	diable	4384	2275
608	appartenir	4376	2456
609	gauche	4352	2291
610	courage	4334	2389
611	dès	4329	2435
612	retour	4325	2520
613	geste	4311	2144
614	caractère	4305	2196
615	part	4300	2705
616	avant de	4294	2679
617	remarquer	4294	2643
618	désir	4289	2262
619	rouge	4288	2072
620	prononcer	4284	2709
621	foi	4282	2378
622	ombre	4241	2230
623	conseil	4219	2024
624	marche	4211	2352
625	époque	4205	2364
626	au moins	4200	2772
627	âge	4200	2143
628	léger	4196	2387
629	espèce	4193	2348
630	hôtel	4190	1374
631	juger	4178	2447
632	embrasser	4177	2188
633	escalier	4177	1863
634	poser	4168	2419
635	répliquer	4160	2117
636	animal	4157	1657
637	triste	4147	2410
638	serrer	4145	2424
639	meilleur	4143	2610
640	suffire	4134	2593
641	travailler	4131	1913
642	sans que	4113	2502
643	peuple	4098	1449
644	former	4095	2337
645	signe	4086	2489
646	libre	4080	2406
647	coin	4075	2019
648	arme	4073	2042
649	compte	4067	2459
650	surprendre	4060	2352
651	ensemble	4059	2480
652	voisin	4046	2087
653	moindre	4023	2257
654	colère	4010	2249
655	baiser	4009	1935
656	ligne	4007	2118
657	toutes	3989	2531
658	effet	3978	2227
659	nécessaire	3958	2208
660	étrange	3955	2402
661	remonter	3954	2362
662	appuyer	3946	2457
663	découvrir	3943	2372
664	sombre	3934	2409
665	étranger	3934	2098
666	avenir	3928	2062
667	moitié	3913	2307
668	voyageur	3912	1396
669	digne	3906	2346
670	diriger	3898	2411
671	vieillard	3889	1059
672	couvrir	3886	2486
673	immense	3871	2110
674	beaucoup de	3869	2017
675	circonstance	3866	2390
676	obtenir	3861	2091
677	tout le monde	3861	2216
678	réponse	3847	2317
679	départ	3842	2270
680	indiquer	3840	2461
681	vivement	3838	2408
682	salle	3832	1501
683	naturel	3809	2292
684	médecin	3805	1266
685	prisonnier	3800	1286
686	Gilbert	3793	276
687	émotion	3792	2220
688	mur	3790	1798
689	veille	3781	2162
690	genou	3770	2115
691	existence	3766	2045
692	noble	3757	1838
693	intérieur	3755	2137
694	grave	3751	2325
695	effort	3750	2344
696	charmant	3742	2021
697	juste	3737	2496
698	amitié	3731	1858
699	navire	3730	1079
700	conversation	3725	2083
701	marier	3724	1461
702	condition	3722	2237
703	guerre	3722	1750
704	véritable	3720	2421
705	engager	3719	2344
706	saint	3718	1607
707	demi	3715	2250
708	pierre	3713	1855
709	vérité	3704	2019
710	au bout de	3696	2348
711	aider	3690	2291
712	humain	3684	1988
713	cousin	3677	885
714	neuf	3677	2025
715	campagne	3674	1884
716	occasion	3661	2357
717	élancer	3650	2192
718	parmi	3644	2160
719	cinquante	3636	1910
720	tous deux	3631	2168
721	éclairer	3626	2098
722	église	3623	1384
723	saluer	3621	2058
724	selon	3621	2196
725	taire	3614	2076
726	préparer	3609	2318
727	difficile	3608	2354
728	bête	3598	1594
729	pardonner	3597	1909
730	amant	3593	1448
731	apparaître	3576	2423
732	combien	3574	2057
733	courant	3568	2103
734	auquel	3550	2327
735	Michel	3545	333
736	Charles	3533	705
737	couper	3530	2045
738	inquiéter	3528	2366
739	obéir	3526	2153
740	boire	3517	1670
741	scène	3514	1806
742	adieu	3508	1728
743	attacher	3506	2151
744	debout	3506	1991
745	poitrine	3505	2259
746	pur	3503	1995
747	armée	3501	1258
748	moi-même	3492	2024
749	Catherine	3486	433
750	liberté	3482	1885
751	vendre	3481	1418
752	confiance	3477	2102
753	déclarer	3476	2001
754	passage	3474	2153
755	près	3474	2418
756	brûler	3473	1984
757	forme	3472	1934
758	parvenir	3472	2178
759	environ	3461	1990
760	quinze	3458	2008
761	volonté	3458	2038
762	enlever	3454	2204
763	glisser	3432	2214
764	livrer	3431	2053
765	résoudre	3423	2192
766	à la fois	3423	2272
767	nombre	3413	2004
768	de nouveau	3410	2036
769	bout	3409	1999
770	foule	3408	1430
771	cette fois ci	3407	2286
772	majesté	3407	1311
773	inutile	3396	2360
774	sept	3395	1924
775	au contraire	3393	2393
776	jambe	3387	1893
777	doigt	3385	1943
778	lieue	3381	1731
779	objet	3376	2031
780	prévenir	3373	2150
781	projet	3365	1963
782	promener	3364	2009
783	soutenir	3363	2121
784	pénétrer	3358	2225
785	rejoindre	3358	2148
786	parti	3355	1973
787	duchesse	3342	523
788	plus tard	3337	2082
789	interrompre	3336	2112
790	lancer	3335	2044
791	facile	3330	2316
792	rêve	3326	1812
793	sujet	3324	2046
794	événement	3321	1921
795	entraîner	3317	2201
796	exister	3304	1888
797	montagne	3303	1477
798	loi	3302	1457
799	politique	3302	1383
800	sérieux	3295	1926
801	auprès de	3291	1810
802	fixer	3289	2332
803	arracher	3285	2123
804	forêt	3282	1347
805	gentilhomme	3279	1196
806	intention	3273	2142
807	merci	3265	2033
808	conserver	3263	2115
809	John	3260	415
810	expression	3253	1784
811	chanter	3252	1391
812	prix	3252	1751
813	cesser	3250	2083
814	visite	3249	1869
815	pendant que	3244	1924
816	menacer	3242	2145
817	fuir	3236	1934
818	mesure	3235	2169
819	établir	3220	1995
820	acheter	3208	1493
821	ramener	3204	2136
822	contenir	3203	2087
823	tort	3203	1929
824	effrayer	3198	1947
825	inquiétude	3195	2177
826	posséder	3195	1779
827	sol	3185	1514
828	prouver	3181	2000
829	épouser	3177	1339
830	million	3168	1140
831	conscience	3164	1698
832	signer	3164	1762
833	vin	3161	1342
834	avis	3156	2014
835	bord	3156	1869
836	village	3156	1400
837	beauté	3155	1497
838	à peu près	3151	2192
839	rouler	3147	1898
840	davantage	3144	2019
841	prêtre	3137	941
842	habit	3133	1650
843	plaindre	3119	1880
844	obliger	3112	1963
845	crime	3106	1464
846	mêler	3101	2056
847	but	3099	2066
848	ressembler	3091	1810
849	fier	3090	1996
850	présence	3087	2169
851	l'une	3083	1977
852	choisir	3076	2008
853	côte	3073	1232
854	hier	3073	1645
855	suivant	3071	2049
856	interroger	3069	2072
857	sens	3066	1851
858	parfaitement	3062	2078
859	vu	3062	1990
860	appartement	3060	1442
861	accomplir	3057	2051
862	société	3057	1375
863	parfois	3050	1922
864	guère	3048	1949
865	sauter	3046	1886
866	dès que	3042	1859
867	sonner	3038	1846
868	réveiller	3037	1797
869	employer	3035	1840
870	position	3032	1792
871	paysan	3028	1237
872	épée	3023	1239
873	déjeuner	3019	1344
874	supérieur	3017	1750
875	public	3015	1428
876	surprise	3012	1987
877	certainement	3009	2142
878	réussir	3009	1914
879	robe	3007	1379
880	semaine	3004	1698
881	Athos	2998	190
882	disposer	2995	2043
883	ferme	2991	1622
884	fer	2986	1699
885	crainte	2979	1961
886	vaste	2970	1743
887	rapide	2967	2047
888	prêt	2948	2056
889	poche	2939	1729
890	artiste	2937	980
891	cabinet	2937	1240
892	puissance	2936	1662
893	doute	2935	2059
894	distance	2931	1754
895	excellent	2929	1919
896	secouer	2929	2106
897	franchir	2927	1868
898	réunir	2926	1913
899	poste	2921	1582
900	pont	2915	1250
901	rayon	2912	1720
902	couleur	2911	1636
903	détail	2907	1892
904	commander	2905	1839
905	contenter	2905	2022
906	Jeanne	2904	281
907	horizon	2900	1628
908	domestique	2898	1431
909	mener	2892	1658
910	hauteur	2891	1830
911	espoir	2890	1854
912	somme	2889	1417
913	hasard	2881	1815
914	chagrin	2877	1468
915	troisième	2875	1833
916	espérance	2874	1669
917	faute	2874	1608
918	colonel	2865	577
919	énorme	2865	1648
920	la première fois	2862	1921
921	Lucien	2860	83
922	chapeau	2858	1536
923	presser	2858	2019
924	éclater	2858	1885
925	trente	2857	1662
926	connaissance	2854	1912
927	action	2853	1649
928	Majesté	2851	569
929	bleu	2851	1466
930	baisser	2847	1885
931	réfléchir	2847	1885
932	chaise	2845	1402
933	examiner	2841	1684
934	troubler	2841	1957
935	vraiment	2836	1876
936	accuser	2834	1646
937	faible	2834	1818
938	hésiter	2830	2030
939	Votre	2827	786
940	lieutenant	2824	775
941	cours	2814	1629
942	remercier	2813	1878
943	tenter	2813	1955
944	sommeil	2812	1626
945	jeu	2807	1403
946	frais	2806	1839
947	troupe	2804	1292
948	absolument	2800	1965
949	direction	2797	1656
950	rapprocher	2797	2043
951	douze	2794	1664
952	trembler	2790	1766
953	soulever	2788	1879
954	désespoir	2785	1655
955	Consuelo	2784	141
956	camarade	2784	1228
957	peu à peu	2783	1882
958	preuve	2781	1703
959	double	2777	1912
960	Philippe	2776	387
961	blesser	2776	1718
962	personnage	2773	1524
963	naître	2769	1732
964	attirer	2765	1922
965	empereur	2757	638
966	dehors	2755	1759
967	quelqu'un	2748	1812
968	cou	2745	1666
969	rêver	2745	1615
970	magnifique	2741	1630
971	rapporter	2737	1908
972	arrivée	2732	1798
973	droite	2728	1672
974	Aramis	2726	196
975	poursuivre	2722	1893
976	traiter	2711	1673
977	Salvator	2710	184
978	entourer	2707	1897
979	fatigue	2702	1777
980	Marguerite	2700	259
981	à présent	2696	1606
982	Chicot	2695	108
983	Pitou	2695	97
984	amoureux	2693	1351
985	accorder	2692	1754
986	ensuite	2690	1826
987	langue	2685	1631
988	remplir	2683	1813
989	intelligence	2682	1512
990	incliner	2681	1755
991	commun	2678	1612
992	palais	2660	1172
993	agiter	2657	1771
994	œuvre	2657	1406
995	seigneur	2655	973
996	province	2650	1210
997	curieux	2648	1679
998	Porthos	2647	179
999	jeunesse	2646	1529
1000	justice	2646	1389
1001	précipiter	2643	1805
1002	compagnie	2641	1428
1003	billet	2630	958
1004	imaginer	2629	1721
1005	pain	2620	1140
1006	faux	2610	1534
1007	taille	2609	1640
1008	respect	2602	1671
1009	théâtre	2602	1080
1010	curiosité	2596	1563
1011	ceci	2593	1591
1012	Maurice	2592	141
1013	veiller	2585	1713
1014	prétendre	2583	1698
1015	pardon	2581	1654
1016	profiter	2574	1861
1017	bâtiment	2573	1112
1018	rôle	2570	1405
1019	verre	2560	1137
1020	confier	2559	1628
1021	chasser	2555	1667
1022	royal	2555	1289
1023	disposition	2554	1807
1024	partout	2552	1641
1025	habiter	2551	1724
1026	degré	2550	1465
1027	céder	2548	1695
1028	clair	2546	1619
1029	autrefois	2545	1602
1030	voile	2545	1315
1031	semblable	2544	1407
1032	équipage	2538	931
1033	retomber	2537	1810
1034	rive	2536	955
1035	hélas	2535	1602
1036	distinguer	2532	1668
1037	dévouement	2530	1509
1038	fauteuil	2528	1326
1039	rapidement	2528	1749
1040	composer	2527	1646
1041	puissant	2523	1714
1042	inspirer	2522	1554
1043	oiseau	2521	1454
1044	mètre	2520	778
1045	misère	2517	1245
1046	terreur	2517	1565
1047	lutte	2512	1555
1048	terminer	2509	1725
1049	science	2505	1172
1050	lâcher	2502	1322
1051	court	2497	1832
1052	mériter	2496	1766
1053	désert	2495	1564
1054	lac	2495	838
1055	goût	2492	1501
1056	parent	2491	1301
1057	dresser	2484	1754
1058	police	2484	922
1059	hâter	2483	1866
1060	groupe	2481	1316
1061	nul	2479	1686
1062	violent	2478	1681
1063	reculer	2474	1724
1064	lesquels	2469	1656
1065	prison	2469	1109
1066	Samuel	2468	215
1067	phrase	2464	1241
1068	glace	2461	1051
1069	nuage	2460	1545
1070	partager	2460	1661
1071	tout de suite	2460	1273
1072	ordinaire	2457	1810
1073	hors de	2455	1839
1074	particulier	2455	1636
1075	rose	2449	1219
1076	fête	2448	1194
1077	face	2447	1328
1078	rassurer	2441	1736
1079	opinion	2439	1475
1080	envie	2437	1626
1081	vide	2435	1444
1082	important	2431	1733
1083	rougir	2427	1599
1084	président	2419	530
1085	misérable	2416	1566
1086	enfoncer	2414	1662
1087	chasse	2413	1209
1088	hôte	2413	1140
1089	qu'est-ce que	2413	1479
1090	exprimer	2410	1439
1091	marin	2407	930
1092	siècle	2406	1301
1093	muraille	2398	1441
1094	Joseph	2389	348
1095	ordonner	2386	1548
1096	pointe	2378	1414
1097	entrée	2374	1601
1098	génie	2374	1102
1099	éteindre	2372	1626
1100	ange	2371	1162
1101	port	2369	1017
1102	résister	2367	1630
1103	soirée	2365	1308
1104	Albert	2362	199
1105	complet	2359	1630
1106	lune	2352	1092
1107	prêter	2349	1529
1108	exiger	2348	1521
1109	Deux	2347	1716
1110	allumer	2346	1461
1111	succès	2346	1285
1112	certes	2345	1486
1113	bourgeois	2344	991
1114	Pierre	2342	456
1115	immobile	2336	1617
1116	singulier	2336	1622
1117	emmener	2335	1403
1118	éveiller	2335	1512
1119	ministre	2331	820
1120	muet	2331	1546
1121	curé	2330	485
1122	citoyen	2329	645
1123	rivière	2327	1122
1124	grâce à	2325	1740
1125	quelquefois	2324	1570
1126	qualité	2323	1485
1127	étouffer	2323	1515
1128	chance	2314	1487
1129	spectacle	2312	1354
1130	ardent	2311	1608
1131	envelopper	2311	1570
1132	haine	2311	1358
1133	savant	2311	1248
1134	nez	2306	1236
1135	secours	2306	1496
1136	sauvage	2304	1363
1137	doucement	2302	1553
1138	nord	2302	1103
1139	épais	2301	1573
1140	étroit	2300	1465
1141	repousser	2295	1649
1142	dos	2292	1455
1143	flamme	2287	1372
1144	souper	2283	1100
1145	autre chose	2281	1731
1146	reposer	2281	1708
1147	santé	2279	1433
1148	simplement	2272	1512
1149	avant que	2271	1717
1150	souffrance	2271	1241
1151	égal	2269	1535
1152	dent	2267	1544
1153	absence	2265	1584
1154	morceau	2265	1367
1155	masse	2261	1300
1156	canon	2259	1004
1157	vertu	2259	1191
1158	ouvrier	2255	894
1159	enfermer	2249	1633
1160	résultat	2249	1562
1161	voler	2247	1329
1162	acte	2246	1214
1163	mystérieux	2246	1449
1164	capable	2241	1466
1165	durer	2240	1623
1166	consentir	2236	1550
1167	pencher	2233	1509
1168	chaud	2231	1377
1169	éviter	2230	1437
1170	risquer	2228	1564
1171	rare	2222	1535
1172	tantôt	2219	992
1173	vert	2218	1244
1174	pitié	2216	1418
1175	affection	2215	1276
1176	musique	2214	890
